Episode,Nombre d'actions réalisées,Nombre d'action moyen,Record
0,7,7.0,27
1,21,14.0,27
2,14,14.0,27
3,27,17.25,27
4,7,15.2,27
5,6,13.666666666666666,27
6,5,12.428571428571429,27
7,3,11.25,27
8,15,11.666666666666666,27
9,3,10.8,27
10,4,10.181818181818182,27
11,4,9.666666666666666,27
12,3,9.153846153846153,27
13,4,8.785714285714286,27
14,3,8.4,27
15,5,8.1875,27
16,3,7.882352941176471,27
17,3,7.611111111111111,27
18,7,7.578947368421052,27
19,6,7.5,27
20,4,7.333333333333333,27
21,14,7.636363636363637,27
22,3,7.434782608695652,27
23,3,7.25,27
24,3,7.08,27
25,3,6.923076923076923,27
26,8,6.962962962962963,27
27,7,6.964285714285714,27
28,4,6.862068965517241,27
29,11,7.0,27
30,5,6.935483870967742,27
31,3,6.8125,27
32,3,6.696969696969697,27
33,5,6.647058823529412,27
34,4,6.571428571428571,27
35,4,6.5,27
36,4,6.4324324324324325,27
37,9,6.5,27
38,4,6.435897435897436,27
39,6,6.425,27
40,7,6.439024390243903,27
41,9,6.5,27
42,4,6.441860465116279,27
43,5,6.409090909090909,27
44,3,6.333333333333333,27
45,7,6.3478260869565215,27
46,9,6.404255319148936,27
47,6,6.395833333333333,27
48,6,6.387755102040816,27
49,6,6.38,27
50,13,6.509803921568627,27
51,6,6.5,27
52,7,6.509433962264151,27
53,6,6.5,27
54,13,6.618181818181818,27
55,11,6.696428571428571,27
56,20,6.9298245614035086,27
57,6,6.913793103448276,27
58,9,6.9491525423728815,27
59,5,6.916666666666667,27
60,5,6.885245901639344,27
61,3,6.82258064516129,27
62,3,6.761904761904762,27
63,10,6.8125,27
64,9,6.846153846153846,27
65,4,6.803030303030303,27
66,5,6.776119402985074,27
67,7,6.779411764705882,27
68,9,6.811594202898551,27
69,10,6.857142857142857,27
70,14,6.957746478873239,27
71,5,6.930555555555555,27
72,10,6.972602739726027,27
73,7,6.972972972972973,27
74,13,7.053333333333334,27
75,12,7.118421052631579,27
76,17,7.246753246753247,27
77,14,7.333333333333333,27
78,10,7.367088607594937,27
79,6,7.35,27
80,5,7.320987654320987,27
81,12,7.378048780487805,27
82,7,7.373493975903615,27
83,3,7.321428571428571,27
84,4,7.2823529411764705,27
85,14,7.3604651162790695,27
86,11,7.402298850574713,27
87,12,7.454545454545454,27
88,8,7.46067415730337,27
89,10,7.488888888888889,27
90,4,7.450549450549451,27
91,11,7.489130434782608,27
92,10,7.516129032258065,27
93,12,7.5638297872340425,27
94,9,7.578947368421052,27
95,9,7.59375,27
96,4,7.556701030927835,27
97,7,7.551020408163265,27
98,12,7.595959595959596,27
99,11,7.63,27
100,14,7.693069306930693,27
101,8,7.696078431372549,27
102,14,7.757281553398058,27
103,12,7.798076923076923,27
104,11,7.828571428571428,27
105,5,7.80188679245283,27
106,7,7.794392523364486,27
107,13,7.842592592592593,27
108,8,7.844036697247707,27
109,12,7.881818181818182,27
110,10,7.900900900900901,27
111,7,7.892857142857143,27
112,8,7.893805309734513,27
113,8,7.894736842105263,27
114,7,7.886956521739131,27
115,8,7.887931034482759,27
116,7,7.880341880341881,27
117,8,7.88135593220339,27
118,6,7.8655462184873945,27
119,6,7.85,27
120,7,7.8429752066115705,27
121,7,7.836065573770492,27
122,6,7.821138211382114,27
123,6,7.806451612903226,27
124,10,7.824,27
125,6,7.809523809523809,27
126,6,7.7952755905511815,27
127,6,7.78125,27
128,8,7.782945736434108,27
129,5,7.7615384615384615,27
130,6,7.748091603053435,27
131,6,7.734848484848484,27
132,6,7.7218045112781954,27
133,6,7.708955223880597,27
134,12,7.7407407407407405,27
135,6,7.727941176470588,27
136,6,7.7153284671532845,27
137,6,7.702898550724638,27
138,6,7.690647482014389,27
139,6,7.678571428571429,27
140,6,7.666666666666667,27
141,6,7.654929577464789,27
142,6,7.643356643356643,27
143,5,7.625,27
144,8,7.627586206896551,27
145,6,7.616438356164384,27
146,7,7.612244897959184,27
147,6,7.601351351351352,27
148,5,7.583892617449664,27
149,5,7.566666666666666,27
150,4,7.543046357615894,27
151,7,7.5394736842105265,27
152,5,7.522875816993464,27
153,5,7.5064935064935066,27
154,4,7.483870967741935,27
155,6,7.4743589743589745,27
156,6,7.464968152866242,27
157,5,7.449367088607595,27
158,6,7.440251572327044,27
159,6,7.43125,27
160,6,7.422360248447205,27
161,6,7.41358024691358,27
162,6,7.404907975460123,27
163,6,7.396341463414634,27
164,6,7.387878787878788,27
165,5,7.373493975903615,27
166,5,7.359281437125748,27
167,5,7.345238095238095,27
168,6,7.337278106508876,27
169,12,7.364705882352941,27
170,6,7.356725146198831,27
171,5,7.343023255813954,27
172,4,7.323699421965318,27
173,5,7.310344827586207,27
174,5,7.297142857142857,27
175,5,7.284090909090909,27
176,5,7.271186440677966,27
177,4,7.252808988764045,27
178,5,7.240223463687151,27
179,5,7.227777777777778,27
180,5,7.2154696132596685,27
181,6,7.208791208791209,27
182,5,7.19672131147541,27
183,5,7.184782608695652,27
184,5,7.172972972972973,27
185,6,7.166666666666667,27
186,6,7.160427807486631,27
187,7,7.159574468085107,27
188,6,7.1534391534391535,27
189,6,7.147368421052631,27
190,6,7.141361256544503,27
191,6,7.135416666666667,27
192,6,7.129533678756476,27
193,6,7.123711340206185,27
194,6,7.1179487179487175,27
195,5,7.107142857142857,27
196,5,7.096446700507614,27
197,5,7.085858585858586,27
198,6,7.080402010050252,27
199,6,7.075,27
