Episode,Nombre d'actions réalisées,Nombre d'action moyen,Record
0,5,5.0,20
1,6,5.5,20
2,3,4.666666666666667,20
3,3,4.25,20
4,3,4.0,20
5,3,3.8333333333333335,20
6,3,3.7142857142857144,20
7,3,3.625,20
8,5,3.7777777777777777,20
9,5,3.9,20
10,4,3.909090909090909,20
11,4,3.9166666666666665,20
12,3,3.8461538461538463,20
13,4,3.857142857142857,20
14,6,4.0,20
15,3,3.9375,20
16,2,3.823529411764706,20
17,2,3.7222222222222223,20
18,2,3.6315789473684212,20
19,2,3.55,20
20,2,3.4761904761904763,20
21,2,3.409090909090909,20
22,2,3.347826086956522,20
23,2,3.2916666666666665,20
24,2,3.24,20
25,3,3.230769230769231,20
26,2,3.185185185185185,20
27,3,3.1785714285714284,20
28,2,3.1379310344827585,20
29,2,3.1,20
30,2,3.064516129032258,20
31,2,3.03125,20
32,3,3.0303030303030303,20
33,2,3.0,20
34,2,2.9714285714285715,20
35,2,2.9444444444444446,20
36,2,2.918918918918919,20
37,2,2.8947368421052633,20
38,2,2.871794871794872,20
39,2,2.85,20
40,2,2.8292682926829267,20
41,3,2.8333333333333335,20
42,3,2.8372093023255816,20
43,3,2.840909090909091,20
44,3,2.8444444444444446,20
45,4,2.869565217391304,20
46,3,2.872340425531915,20
47,3,2.875,20
48,2,2.857142857142857,20
49,3,2.86,20
50,2,2.843137254901961,20
51,2,2.826923076923077,20
52,2,2.811320754716981,20
53,2,2.7962962962962963,20
54,2,2.7818181818181817,20
55,2,2.767857142857143,20
56,3,2.7719298245614037,20
57,2,2.7586206896551726,20
58,2,2.7457627118644066,20
59,3,2.75,20
60,2,2.737704918032787,20
61,3,2.7419354838709675,20
62,3,2.746031746031746,20
63,2,2.734375,20
64,2,2.723076923076923,20
65,5,2.757575757575758,20
66,3,2.7611940298507465,20
67,2,2.75,20
68,3,2.753623188405797,20
69,3,2.757142857142857,20
70,2,2.7464788732394365,20
71,2,2.736111111111111,20
72,2,2.7260273972602738,20
73,2,2.7162162162162162,20
74,2,2.7066666666666666,20
75,3,2.710526315789474,20
