Episode,Nombre d'actions réalisées,Nombre d'action moyen,Record
0,4,4.0,18
1,12,8.0,18
2,3,6.333333333333333,18
3,3,5.5,18
4,3,5.0,18
5,3,4.666666666666667,18
6,3,4.428571428571429,18
7,3,4.25,18
8,3,4.111111111111111,18
9,3,4.0,18
10,4,4.0,18
11,3,3.9166666666666665,18
12,3,3.8461538461538463,18
13,3,3.7857142857142856,18
14,3,3.7333333333333334,18
15,3,3.6875,18
16,4,3.7058823529411766,18
17,4,3.7222222222222223,18
18,4,3.736842105263158,18
19,4,3.75,18
20,4,3.761904761904762,18
21,6,3.8636363636363638,18
22,4,3.869565217391304,18
23,4,3.875,18
24,4,3.88,18
25,3,3.8461538461538463,18
26,6,3.925925925925926,18
27,4,3.9285714285714284,18
28,2,3.8620689655172415,18
29,2,3.8,18
30,3,3.774193548387097,18
31,5,3.8125,18
32,2,3.757575757575758,18
33,3,3.735294117647059,18
34,4,3.742857142857143,18
35,6,3.8055555555555554,18
36,4,3.810810810810811,18
37,7,3.8947368421052633,18
38,4,3.8974358974358974,18
39,7,3.975,18
40,3,3.951219512195122,18
41,3,3.9285714285714284,18
42,4,3.9302325581395348,18
43,4,3.9318181818181817,18
44,5,3.9555555555555557,18
45,3,3.9347826086956523,18
46,3,3.9148936170212765,18
47,3,3.8958333333333335,18
48,3,3.877551020408163,18
49,3,3.86,18
50,3,3.843137254901961,18
51,4,3.8461538461538463,18
52,3,3.830188679245283,18
53,10,3.9444444444444446,18
54,18,4.2,18
55,5,4.214285714285714,18
56,6,4.245614035087719,18
57,5,4.258620689655173,18
58,5,4.271186440677966,18
59,4,4.266666666666667,18
60,4,4.262295081967213,18
61,3,4.241935483870968,18
62,3,4.222222222222222,18
63,2,4.1875,18
64,3,4.1692307692307695,18
65,3,4.151515151515151,18
66,2,4.119402985074627,18
67,2,4.088235294117647,18
68,3,4.072463768115942,18
69,3,4.057142857142857,18
70,2,4.028169014084507,18
71,3,4.013888888888889,18
72,3,4.0,18
73,3,3.9864864864864864,18
74,3,3.973333333333333,18
75,3,3.960526315789474,18
76,4,3.961038961038961,18
77,3,3.948717948717949,18
78,3,3.9367088607594938,18
79,4,3.9375,18
80,3,3.925925925925926,18
81,3,3.9146341463414633,18
82,3,3.9036144578313254,18
83,3,3.892857142857143,18
84,3,3.8823529411764706,18
85,4,3.883720930232558,18
86,4,3.8850574712643677,18
87,3,3.875,18
88,8,3.9213483146067416,18
89,3,3.911111111111111,18
90,4,3.912087912087912,18
91,3,3.902173913043478,18
92,4,3.903225806451613,18
93,4,3.904255319148936,18
94,3,3.8947368421052633,18
95,3,3.8854166666666665,18
96,3,3.8762886597938144,18
97,2,3.857142857142857,18
98,2,3.8383838383838382,18
99,2,3.82,18
100,2,3.801980198019802,18
101,3,3.7941176470588234,18
102,2,3.7766990291262137,18
103,3,3.769230769230769,18
104,3,3.761904761904762,18
105,3,3.7547169811320753,18
106,2,3.7383177570093458,18
107,2,3.7222222222222223,18
108,2,3.706422018348624,18
109,2,3.690909090909091,18
110,2,3.675675675675676,18
111,2,3.6607142857142856,18
112,2,3.646017699115044,18
113,1,3.6228070175438596,18
114,1,3.6,18
115,1,3.5775862068965516,18
116,2,3.5641025641025643,18
117,2,3.5508474576271185,18
118,2,3.53781512605042,18
119,2,3.525,18
120,2,3.512396694214876,18
121,2,3.5,18
122,2,3.4878048780487805,18
123,2,3.475806451612903,18
124,2,3.464,18
125,2,3.4523809523809526,18
126,2,3.440944881889764,18
127,2,3.4296875,18
128,3,3.4263565891472867,18
129,2,3.4153846153846152,18
130,2,3.404580152671756,18
131,2,3.393939393939394,18
132,2,3.3834586466165413,18
133,2,3.373134328358209,18
134,2,3.362962962962963,18
135,2,3.3529411764705883,18
136,2,3.343065693430657,18
137,2,3.3333333333333335,18
138,2,3.323741007194245,18
139,5,3.335714285714286,18
140,2,3.326241134751773,18
141,5,3.3380281690140845,18
142,3,3.335664335664336,18
143,3,3.3333333333333335,18
144,3,3.331034482758621,18
145,3,3.328767123287671,18
146,3,3.326530612244898,18
147,3,3.324324324324324,18
148,3,3.3221476510067114,18
149,3,3.32,18
150,3,3.3178807947019866,18
151,13,3.3815789473684212,18
152,14,3.450980392156863,18
153,5,3.461038961038961,18
154,5,3.470967741935484,18
155,5,3.480769230769231,18
156,4,3.484076433121019,18
157,4,3.4873417721518987,18
158,3,3.4842767295597485,18
159,3,3.48125,18
160,3,3.4782608695652173,18
161,3,3.4753086419753085,18
162,3,3.4723926380368098,18
163,3,3.4695121951219514,18
164,4,3.4727272727272727,18
165,3,3.4698795180722892,18
166,3,3.467065868263473,18
167,3,3.4642857142857144,18
168,3,3.4615384615384617,18
169,3,3.458823529411765,18
170,4,3.461988304093567,18
171,3,3.4593023255813953,18
172,3,3.4566473988439306,18
173,3,3.454022988505747,18
174,3,3.4514285714285715,18
175,5,3.460227272727273,18
176,4,3.463276836158192,18
177,4,3.466292134831461,18
178,4,3.46927374301676,18
179,5,3.477777777777778,18
180,4,3.4806629834254146,18
181,3,3.478021978021978,18
182,4,3.480874316939891,18
183,5,3.489130434782609,18
184,4,3.4918918918918918,18
185,3,3.489247311827957,18
186,4,3.4919786096256686,18
187,5,3.5,18
188,4,3.502645502645503,18
189,3,3.5,18
190,3,3.4973821989528795,18
191,4,3.5,18
192,4,3.5025906735751295,18
193,7,3.520618556701031,18
194,4,3.523076923076923,18
195,17,3.5918367346938775,18
196,2,3.583756345177665,18
197,2,3.5757575757575757,18
198,2,3.5678391959798996,18
199,2,3.56,18
200,2,3.5522388059701493,18
201,2,3.5445544554455446,18
202,2,3.5369458128078817,18
203,2,3.5294117647058822,18
204,2,3.521951219512195,18
205,2,3.5145631067961167,18
206,2,3.5072463768115942,18
207,2,3.5,18
208,2,3.492822966507177,18
209,2,3.4857142857142858,18
210,2,3.4786729857819907,18
211,2,3.4716981132075473,18
212,2,3.464788732394366,18
213,6,3.4766355140186915,18
214,2,3.469767441860465,18
215,2,3.462962962962963,18
216,2,3.456221198156682,18
217,5,3.463302752293578,18
218,11,3.497716894977169,18
219,2,3.4909090909090907,18
