Episode,Nombre d'actions réalisées,Nombre d'action moyen,Record
0,4,4.0,17
1,7,5.5,17
2,5,5.333333333333333,17
3,4,5.0,17
4,4,4.8,17
5,4,4.666666666666667,17
6,5,4.714285714285714,17
7,3,4.5,17
8,3,4.333333333333333,17
9,3,4.2,17
10,3,4.090909090909091,17
11,4,4.083333333333333,17
12,4,4.076923076923077,17
13,4,4.071428571428571,17
14,3,4.0,17
15,4,4.0,17
16,3,3.9411764705882355,17
17,3,3.888888888888889,17
18,3,3.8421052631578947,17
19,4,3.85,17
20,3,3.8095238095238093,17
21,3,3.772727272727273,17
22,4,3.782608695652174,17
23,3,3.75,17
24,3,3.72,17
25,2,3.6538461538461537,17
26,3,3.6296296296296298,17
27,3,3.607142857142857,17
28,6,3.689655172413793,17
29,4,3.7,17
30,6,3.774193548387097,17
31,6,3.84375,17
32,4,3.8484848484848486,17
33,9,4.0,17
34,5,4.0285714285714285,17
35,4,4.027777777777778,17
36,6,4.081081081081081,17
37,6,4.131578947368421,17
38,7,4.205128205128205,17
39,6,4.25,17
40,4,4.2439024390243905,17
41,4,4.238095238095238,17
42,3,4.209302325581396,17
43,5,4.2272727272727275,17
44,5,4.2444444444444445,17
45,4,4.239130434782608,17
46,11,4.382978723404255,17
47,3,4.354166666666667,17
48,9,4.448979591836735,17
49,7,4.5,17
50,6,4.529411764705882,17
51,7,4.576923076923077,17
52,5,4.584905660377358,17
53,3,4.555555555555555,17
54,4,4.545454545454546,17
55,3,4.517857142857143,17
56,3,4.491228070175438,17
57,4,4.482758620689655,17
58,3,4.4576271186440675,17
59,3,4.433333333333334,17
60,4,4.426229508196721,17
61,2,4.387096774193548,17
62,3,4.365079365079365,17
63,3,4.34375,17
64,3,4.323076923076923,17
65,3,4.303030303030303,17
66,3,4.2835820895522385,17
67,5,4.294117647058823,17
68,6,4.318840579710145,17
69,4,4.314285714285714,17
70,4,4.309859154929577,17
71,3,4.291666666666667,17
72,3,4.273972602739726,17
73,3,4.256756756756757,17
74,8,4.306666666666667,17
75,15,4.447368421052632,17
76,17,4.6103896103896105,17
77,9,4.666666666666667,17
78,4,4.658227848101266,17
79,4,4.65,17
80,4,4.6419753086419755,17
81,3,4.621951219512195,17
82,4,4.614457831325301,17
83,4,4.607142857142857,17
84,3,4.588235294117647,17
85,3,4.569767441860465,17
86,9,4.620689655172414,17
87,5,4.625,17
88,3,4.606741573033708,17
89,3,4.588888888888889,17
90,3,4.571428571428571,17
91,3,4.554347826086956,17
92,2,4.526881720430108,17
93,2,4.5,17
94,2,4.473684210526316,17
95,6,4.489583333333333,17
96,5,4.494845360824742,17
97,4,4.489795918367347,17
98,3,4.474747474747475,17
99,2,4.45,17
100,2,4.425742574257426,17
101,2,4.401960784313726,17
102,2,4.378640776699029,17
103,2,4.355769230769231,17
104,2,4.333333333333333,17
105,2,4.311320754716981,17
106,2,4.289719626168225,17
107,2,4.268518518518518,17
108,3,4.256880733944954,17
109,2,4.236363636363636,17
110,2,4.216216216216216,17
111,4,4.214285714285714,17
112,1,4.185840707964601,17
113,5,4.192982456140351,17
114,8,4.226086956521739,17
115,11,4.2844827586206895,17
116,5,4.2905982905982905,17
117,4,4.288135593220339,17
118,15,4.378151260504202,17
119,14,4.458333333333333,17
120,7,4.479338842975206,17
121,6,4.491803278688525,17
122,13,4.560975609756097,17
123,4,4.556451612903226,17
124,4,4.552,17
125,5,4.555555555555555,17
126,4,4.551181102362205,17
127,5,4.5546875,17
128,6,4.565891472868217,17
129,5,4.569230769230769,17
130,3,4.557251908396947,17
131,8,4.583333333333333,17
132,3,4.571428571428571,17
133,5,4.574626865671642,17
134,3,4.562962962962963,17
135,2,4.544117647058823,17
136,2,4.525547445255475,17
137,2,4.507246376811594,17
138,3,4.496402877697841,17
139,2,4.478571428571429,17
140,1,4.453900709219858,17
141,1,4.429577464788732,17
142,3,4.419580419580419,17
143,3,4.409722222222222,17
144,2,4.393103448275862,17
145,3,4.383561643835616,17
146,4,4.380952380952381,17
147,3,4.371621621621622,17
148,2,4.355704697986577,17
149,2,4.34,17
150,2,4.324503311258278,17
151,2,4.309210526315789,17
152,10,4.34640522875817,17
153,10,4.383116883116883,17
154,5,4.387096774193548,17
155,5,4.391025641025641,17
156,3,4.382165605095541,17
157,9,4.4113924050632916,17
158,5,4.415094339622642,17
159,5,4.41875,17
160,4,4.416149068322981,17
161,4,4.41358024691358,17
162,4,4.411042944785276,17
163,4,4.408536585365853,17
164,14,4.466666666666667,17
165,3,4.457831325301205,17
166,3,4.449101796407185,17
167,4,4.446428571428571,17
168,3,4.437869822485207,17
169,14,4.4941176470588236,17
170,5,4.497076023391813,17
171,4,4.494186046511628,17
172,7,4.508670520231214,17
173,5,4.511494252873563,17
174,2,4.497142857142857,17
175,2,4.482954545454546,17
176,8,4.502824858757062,17
177,3,4.49438202247191,17
178,3,4.4860335195530725,17
179,4,4.483333333333333,17
180,3,4.475138121546961,17
181,8,4.4945054945054945,17
182,5,4.497267759562842,17
183,17,4.565217391304348,17
184,4,4.562162162162162,17
185,5,4.564516129032258,17
186,6,4.572192513368984,17
187,6,4.579787234042553,17
188,4,4.576719576719577,17
189,4,4.573684210526316,17
190,5,4.575916230366492,17
191,3,4.567708333333333,17
192,3,4.5595854922279795,17
193,5,4.561855670103093,17
194,4,4.558974358974359,17
195,3,4.551020408163265,17
196,2,4.538071065989848,17
197,2,4.525252525252525,17
198,2,4.5125628140703515,17
199,2,4.5,17
200,2,4.487562189054726,17
201,3,4.48019801980198,17
