Episode,Nombre d'actions réalisées,Nombre d'action moyen,Record
0,9,9.0,14
1,5,7.0,14
2,8,7.333333333333333,14
3,7,7.25,14
4,7,7.2,14
5,5,6.833333333333333,14
6,4,6.428571428571429,14
7,4,6.125,14
8,4,5.888888888888889,14
9,4,5.7,14
10,4,5.545454545454546,14
11,6,5.583333333333333,14
12,4,5.461538461538462,14
13,4,5.357142857142857,14
14,4,5.266666666666667,14
15,3,5.125,14
16,9,5.352941176470588,14
17,6,5.388888888888889,14
18,7,5.473684210526316,14
19,4,5.4,14
20,4,5.333333333333333,14
21,2,5.181818181818182,14
22,4,5.130434782608695,14
23,4,5.083333333333333,14
24,3,5.0,14
25,4,4.961538461538462,14
26,3,4.888888888888889,14
27,3,4.821428571428571,14
28,2,4.724137931034483,14
29,2,4.633333333333334,14
30,12,4.870967741935484,14
31,9,5.0,14
32,2,4.909090909090909,14
33,2,4.823529411764706,14
34,2,4.742857142857143,14
35,3,4.694444444444445,14
36,2,4.621621621621622,14
37,3,4.578947368421052,14
38,2,4.512820512820513,14
39,4,4.5,14
40,3,4.463414634146342,14
41,2,4.404761904761905,14
42,4,4.395348837209302,14
43,4,4.386363636363637,14
44,3,4.355555555555555,14
45,2,4.304347826086956,14
46,2,4.25531914893617,14
47,3,4.229166666666667,14
48,2,4.183673469387755,14
49,5,4.2,14
50,2,4.1568627450980395,14
51,2,4.115384615384615,14
52,2,4.0754716981132075,14
53,2,4.037037037037037,14
54,1,3.981818181818182,14
55,1,3.9285714285714284,14
56,1,3.8771929824561404,14
57,2,3.8448275862068964,14
58,4,3.847457627118644,14
59,3,3.8333333333333335,14
60,5,3.8524590163934427,14
61,3,3.838709677419355,14
62,3,3.8253968253968256,14
63,2,3.796875,14
64,2,3.769230769230769,14
65,2,3.742424242424242,14
66,12,3.8656716417910446,14
67,7,3.911764705882353,14
68,11,4.0144927536231885,14
69,5,4.0285714285714285,14
70,4,4.028169014084507,14
71,3,4.013888888888889,14
72,3,4.0,14
73,3,3.9864864864864864,14
74,2,3.96,14
75,3,3.9473684210526314,14
76,3,3.935064935064935,14
77,3,3.923076923076923,14
78,2,3.8987341772151898,14
79,2,3.875,14
80,2,3.8518518518518516,14
81,3,3.841463414634146,14
82,2,3.819277108433735,14
83,2,3.7976190476190474,14
84,2,3.776470588235294,14
85,2,3.755813953488372,14
86,3,3.7471264367816093,14
87,3,3.7386363636363638,14
88,3,3.730337078651685,14
89,3,3.7222222222222223,14
90,3,3.7142857142857144,14
91,3,3.7065217391304346,14
92,3,3.6989247311827955,14
93,3,3.6914893617021276,14
94,3,3.6842105263157894,14
95,3,3.6770833333333335,14
96,3,3.670103092783505,14
97,3,3.663265306122449,14
98,2,3.6464646464646466,14
99,2,3.63,14
100,2,3.613861386138614,14
101,3,3.607843137254902,14
102,3,3.6019417475728157,14
103,3,3.5961538461538463,14
104,3,3.5904761904761906,14
105,3,3.5849056603773586,14
106,3,3.5794392523364484,14
107,4,3.5833333333333335,14
108,4,3.5871559633027523,14
109,4,3.590909090909091,14
110,3,3.5855855855855854,14
111,3,3.580357142857143,14
112,4,3.584070796460177,14
113,3,3.5789473684210527,14
114,3,3.5739130434782607,14
115,3,3.5689655172413794,14
116,2,3.5555555555555554,14
117,2,3.542372881355932,14
118,2,3.5294117647058822,14
119,2,3.5166666666666666,14
120,2,3.5041322314049586,14
121,2,3.4918032786885247,14
122,2,3.4796747967479673,14
123,2,3.467741935483871,14
124,2,3.456,14
125,2,3.4444444444444446,14
126,2,3.4330708661417324,14
127,2,3.421875,14
128,1,3.4031007751937983,14
129,1,3.3846153846153846,14
130,1,3.366412213740458,14
131,1,3.3484848484848486,14
132,2,3.338345864661654,14
133,2,3.328358208955224,14
134,7,3.3555555555555556,14
135,3,3.3529411764705883,14
136,3,3.3503649635036497,14
137,4,3.3550724637681157,14
138,3,3.352517985611511,14
139,3,3.35,14
140,5,3.3617021276595747,14
141,4,3.3661971830985915,14
142,3,3.3636363636363638,14
143,4,3.3680555555555554,14
144,3,3.3655172413793104,14
145,3,3.363013698630137,14
146,4,3.36734693877551,14
147,4,3.3716216216216215,14
148,4,3.3758389261744965,14
149,4,3.38,14
150,4,3.384105960264901,14
151,4,3.388157894736842,14
152,4,3.392156862745098,14
153,5,3.4025974025974026,14
154,7,3.425806451612903,14
155,4,3.4294871794871793,14
156,4,3.43312101910828,14
157,5,3.4430379746835444,14
158,4,3.4465408805031448,14
159,5,3.45625,14
160,3,3.453416149068323,14
161,3,3.450617283950617,14
162,3,3.4478527607361964,14
163,2,3.4390243902439024,14
164,2,3.43030303030303,14
165,2,3.4216867469879517,14
166,2,3.413173652694611,14
167,2,3.4047619047619047,14
168,2,3.396449704142012,14
169,5,3.4058823529411764,14
170,2,3.3976608187134505,14
171,2,3.38953488372093,14
172,2,3.3815028901734103,14
173,2,3.3735632183908044,14
174,2,3.3657142857142857,14
175,2,3.3579545454545454,14
176,2,3.3502824858757063,14
177,2,3.342696629213483,14
178,2,3.335195530726257,14
179,2,3.327777777777778,14
180,3,3.3259668508287294,14
181,3,3.3241758241758244,14
182,2,3.3169398907103824,14
183,1,3.3043478260869565,14
184,1,3.291891891891892,14
185,2,3.28494623655914,14
186,1,3.272727272727273,14
187,1,3.2606382978723403,14
188,1,3.248677248677249,14
189,1,3.236842105263158,14
190,4,3.2408376963350785,14
191,4,3.2447916666666665,14
192,4,3.2487046632124352,14
193,3,3.247422680412371,14
194,4,3.2512820512820513,14
195,2,3.2448979591836733,14
196,2,3.238578680203046,14
197,2,3.2323232323232323,14
198,3,3.2311557788944723,14
199,2,3.225,14
200,2,3.218905472636816,14
201,2,3.212871287128713,14
202,2,3.206896551724138,14
203,2,3.200980392156863,14
204,2,3.1951219512195124,14
205,2,3.1893203883495147,14
206,2,3.183574879227053,14
207,2,3.1778846153846154,14
208,2,3.172248803827751,14
209,2,3.1666666666666665,14
210,2,3.161137440758294,14
211,2,3.1556603773584904,14
212,2,3.1502347417840375,14
213,2,3.1448598130841123,14
214,2,3.13953488372093,14
215,14,3.189814814814815,14
216,5,3.19815668202765,14
217,4,3.2018348623853212,14
218,4,3.2054794520547945,14
219,4,3.209090909090909,14
220,3,3.2081447963800906,14
221,3,3.2072072072072073,14
222,3,3.2062780269058297,14
223,3,3.205357142857143,14
224,3,3.2044444444444444,14
225,3,3.2035398230088497,14
226,3,3.202643171806167,14
227,2,3.1973684210526314,14
228,2,3.1921397379912664,14
229,2,3.1869565217391305,14
230,2,3.1818181818181817,14
231,2,3.1767241379310347,14
232,2,3.171673819742489,14
233,2,3.1666666666666665,14
234,2,3.1617021276595745,14
235,2,3.156779661016949,14
236,2,3.151898734177215,14
237,2,3.1470588235294117,14
238,2,3.1422594142259412,14
239,2,3.1375,14
240,2,3.132780082987552,14
241,2,3.128099173553719,14
242,2,3.123456790123457,14
243,4,3.127049180327869,14
244,4,3.130612244897959,14
245,4,3.1341463414634148,14
246,3,3.133603238866397,14
247,3,3.1330645161290325,14
248,2,3.1285140562248994,14
249,2,3.124,14
250,2,3.1195219123505975,14
251,2,3.115079365079365,14
252,2,3.110671936758893,14
253,1,3.1023622047244093,14
254,1,3.0941176470588236,14
255,9,3.1171875,14
256,8,3.1361867704280155,14
257,0,3.124031007751938,14
